"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"PERÍCIA","2019-02-18","023/1.18.0006347-9"
"INICIAL","2019-03-07","0021139-67.2018.5.04.0025"
"UNA","2019-04-16","1001485-24.2018.5.02.0384"
"INICIAL","2019-01-24","0021018-72.2018.5.04.0014"
"INICIAL","2019-02-12","0020872-52.2018.5.04.0104"
"INICIAL","2019-02-26","0020872-52.2018.5.04.0104"
"SENTENÇA","2019-02-25","0000689-95.2018.5.21.0004"
"CONCILIAÇÃO","2019-02-05","0000585-05-2013-5-05-0011"
"INSTRUÇÃO","2019-02-01","0021243-14.2017.5.04.0019"
"INICIAL","2019-03-13","0021276-88.2018.5.04.0012"
"INSTRUÇÃO","2019-03-13","0020968-05.2016.5.04.0406"
"INSTRUÇÃO","2019-03-19","0021053-18.2016.5.04.0009"
"JULGAMENTO","2019-01-30","0000614-71.2017.5.12.0059"
"INICIAL","2019-03-26","0020015-55.2019.5.04.0141"
"INICIAL","2019-03-26","0020016-40.2019.5.04.0141"
"INSTRUÇÃO","2019-04-15","0020935-66.2018.5.04.0334"
"INSTRUÇÃO","2019-11-26","0021230-93.2018.5.04.0402"
"INSTRUÇÃO","2019-05-16","0020847-18.2018.5.04.0305"
"INSTRUÇÃO","2019-05-30","0021021-45.2018.5.04.0008"
"INSTRUÇÃO","2019-10-29","0021018-72.2018.5.04.0014"
"INSTRUÇÃO","2019-06-11","0020839-42.2018.5.04.0531"
"OITIVA DE TESTEMUNHAS","2019-01-30","0020988-47.2018.5.04.0334"
"PERÍCIA","2019-01-26","1000791-89.2017.8.26.0281"
"INICIAL","2019-04-23","0021147-16.2018.5.04.0002"
"UNA","2019-03-06","0101234-14.2018.5.01.0043"
"INSTRUÇÃO","2019-12-04","0020875-13.2018.5.04.0102"
"INSTRUÇÃO","2019-01-30","0021252-15.2017.5.04.0006"
"JULGAMENTO","2019-12-11","0022431-43.2016.5.04.0030"
"UNA","2019-02-11","0020651-65.2018.5.04.0461"
"INSTRUÇÃO","2019-08-12","0021197-70.2017.5.04.0004"
"PERÍCIA","2019-01-07","1001070-20.2018.5.02.0003"
"SENTENÇA","2019-02-04","1001363-09.2018.502.0708"
"OITIVA DE TESTEMUNHAS","2019-02-06","1001568.34.2018.5.02.0386"
"UNA","2019-02-13","0101328-05.2018.5.01.0061"
"UNA","2019-02-20","1001482-15.2018.5.02.0402"
"SENTENÇA","2019-02-22","0002451.70.2015.5.02.0202"
"UNA","2019-02-25","0101326-89.2018.5.01.0043"
"INICIAL","2019-02-26","1001246-75.2018.5.02.0301"
"SENTENÇA","2019-02-27","1001549-46.2018.5.02.0089"
"PERÍCIA","2019-01-29","5066807-75.2018.4.04.7100"
"INICIAL","2019-03-12","0101249-85.2018.5.01.0009"
"INSTRUÇÃO","2019-03-12","1000369.88.2018.5.02.0058"
"UNA","2019-04-01","1001676-61.2018.5.02.0031"
"INICIAL","2019-05-20","0101373-12.2018.5.01.0060"
"UNA","2019-05-23","1001261-38.2018.5.02.0012"
"INICIAL","2019-05-27","0101321-51.2018.5.01.0016"
"INSTRUÇÃO","2019-04-23","0021462-78.2017.5.04.0002"
"UNA","2019-05-16","1001625-61.2018.5.02.0383"
"INSTRUÇÃO","2019-02-11","0021791-12.2017.5.04.0028"
"UNA","2019-02-14",""
"UNA","2019-02-18","1001655-36.2018.5.02.0015"
"CONCILIAÇÃO","2019-02-18","1001228.30.2016.5.02.0073"
"UNA","2019-04-22","1001325-38.2018.5.02.0080"
"JULGAMENTO","2019-02-13",""
"UNA","2019-03-07","1001246-72.2018.5.02.0011"
"UNA","2019-03-25","0020651-65.2018.5.04.0461"
"CONCILIAÇÃO","2019-03-28","0000594-26-2011-5-15-0021"
"JULGAMENTO","2019-02-05","CP0021940-14.2017.5.04.0026"
"INICIAL","2019-03-27","0020748-57.2018.504.0302"
"INSTRUÇÃO","2019-06-03","0010926-45.2018.5.03.0149"
"INSTRUÇÃO","2019-06-04","1001070-20.2018.5.02.0003"
"UNA","2019-06-12","1001655-31.2018.5.02.0049"
"INICIAL","2019-04-25","0021121-40.2018.5.04.0027"
"INSTRUÇÃO","2019-02-11","0021062-52.2017.5.04.0103"
"INSTRUÇÃO","2019-02-13","0000579-03.2014.5.04.0104"
"UNA","2019-08-01","0011691-37.2018.5.15.0131"
"INICIAL","2019-06-25","0020520-36.2019.5.04.0403"
"JULGAMENTO","2019-12-11","0020465-46.2018.5.04.0104"
"INSTRUÇÃO","2019-02-13","0021246-81.2017.5.04.0014"
"OITIVA DE TESTEMUNHAS","2019-04-03","0001052-37.2018.5.10.0021"
"INSTRUÇÃO","2019-02-18","0021521-26.2017.5.04.0662"
"OITIVA DE TESTEMUNHAS","2019-02-19","CP0020928-58.2018.5.04.0404"
"OITIVA DE TESTEMUNHAS","2019-02-28","0010130.25.2019.5.15.0104"
"UNA","2019-08-22","1000211-55.2019.5.02.0201"
"INSTRUÇÃO","2019-10-01","0020752-12.2018.5.04.0006"
"UNA","2019-04-11","1001655-36.2018.5.02.0015"
"INSTRUÇÃO","2019-07-11","1001543-06.2018.5.02.0003"
"INICIAL","2019-02-19","0021530-16.2018.5.04.0512"
"INSTRUÇÃO","2019-11-12",""
"INSTRUÇÃO","2018-10-24","0020823-45.2017.5.04.0007"
"INSTRUÇÃO","2019-11-11","0000563-42.2018.5.09.0016"
"INICIAL","2019-03-21","0101268-84.2018.5.01.0076"
"INSTRUÇÃO","2019-04-08","0020089-48.2018.5.04.0011REINT"
"INSTRUÇÃO","2019-10-29","0021534-53.2018.5.04.0512"
"INSTRUÇÃO","2019-11-06","0021318-31.2018.5.04.0403"
"JULGAMENTO - ED","2019-02-21","8476-56.2019.8.21.7000"
"INICIAL","2019-02-25","0021176-42.2018.5.04.0010"
"OITIVA DE TESTEMUNHAS","2019-05-31","1000506.82.2018.5.02.0054"
"INSTRUÇÃO","2019-10-30","0012022-18.2018.5.15.0002"
"JULGAMENTO","2019-02-25","5074070-66.2015.4.04.7100"
"JULGAMENTO","2019-02-28",""
"OITIVA DE TESTEMUNHAS","2019-03-19","CP0001590-19.2016.5.10.0011"
"PERÍCIA","2019-03-12","5043865-49.2018.4.04.7100"
"JULGAMENTO","2019-03-13","0021143-02.2016.5.04.0405"
"PERÍCIA","2019-03-14","9063948-65.2018.8.21.0001"
"INSTRUÇÃO","2019-08-14","0021347-75.2018.5.04.0405"
"INICIAL","2019-04-09","0020069-38.2019.5.04.0006"
"OITIVA DE TESTEMUNHAS","2019-04-29","0000949-24.2018.5.09.0129"
"INSTRUÇÃO","2019-06-11","1000993-32.2018.5.02.0384"
"INSTRUÇÃO","2019-06-17","1001823-46.2017.5.02.0056"
"INSTRUÇÃO","2019-04-24","0021138-12.2018.5.04.0016"
"UNA","2019-06-24","0101575-81.2017.5.01.0073"
"UNA","2019-07-02","1002086-82.2018.5.02.0205"
"UNA","2019-07-02","1002083-30.2018.5.02.0205"
"INSTRUÇÃO","2019-07-04","0100725-77.2018.5.01.0045"
"UNA","2019-08-15","1002962-71.2017.5.02.0205"
"INSTRUÇÃO","2019-10-01","0011313-14.2018.5.03.0035"
"UNA","2019-12-11","0011704-50.2018.5.15.0094"
"INSTRUÇÃO","2020-03-09","0010825-95.2018.5.15.0109"
"INSTRUÇÃO","2019-01-24","0020291-47.2017.5.04.0015"
"SENTENÇA","2019-01-28","1001704-48.2017.5.02.0036"
"PERÍCIA","2019-07-01","161592-19.2018.8.21.7000"
"INSTRUÇÃO","2019-04-30","0021203-84.2016.5.04.0401"
"INSTRUÇÃO","2020-03-31","0020730-52.2018.5.04.0232"
"INICIAL","2019-01-29","0021138-12.2018.5.04.0016"
"OITIVA DE TESTEMUNHAS","2019-01-29","0001849-53.2017.5.12.0001"
"UNA","2019-12-09","0012278-86.2018.5.15.0122"
"INICIAL","2019-01-30","0021215-18.2018.5.04.0405"
"PERÍCIA","2019-01-29","9057068-57.2018.8.21.0001"
"INSTRUÇÃO","2019-11-26","0021414-11.2016.5.04.0017"
"UNA","2019-03-11","0020899-44.2018.5.04.0101"
"JULGAMENTO","2019-02-20","0020203-66.2018.5.04.0017"
"OITIVA DE TESTEMUNHAS","2019-02-15","0011174.71.2018.5.15.0021"
"OITIVA DE TESTEMUNHAS","2019-04-09","1001651.72.2018.5.02.0023"
"UNA","2019-06-19","0101365-69.2018.5.01.0081"
"UNA","2019-12-11","0012279-71.2018.5.15.0122"
"INSTRUÇÃO","2019-05-21","0020902-96.2018.5.04.0101"
"INSTRUÇÃO","2019-07-30","0021118-82.2018.5.04.0028"
"PERÍCIA","2020-08-06","5026004-29.2020.8.21.0001"
"INSTRUÇÃO","2019-08-13","0021139-58.2018.5.04.0028"
"INSTRUÇÃO","2019-12-03","0021106-10.2018.5.04.0015"
"PERÍCIA","2019-01-31","001/1.17.0009168-0"
"PERÍCIA","2019-02-12","5008268-86.2018.4.04.7110"
"INSTRUÇÃO","2019-07-18","0021215-18.2018.5.04.0405"
"INSTRUÇÃO","2020-02-10","0021143-89.2018.5.04.0030"
"INSTRUÇÃO","2019-08-14","0021019-57.2018.5.04.0014"
"INSTRUÇÃO","2020-03-18","0011371-84.2018.5.15.0131"
"PERÍCIA","2019-02-01","9057068-57.2018.8.21.0001"
"INSTRUÇÃO","2019-09-10","0020752-12.2018.5.04.0006"
"INSTRUÇÃO","2019-10-22","0022226-77.2017.5.04.0030"
"INSTRUÇÃO","2019-02-19","0021694-51.2017.5.04.0403"
"INICIAL","2019-02-18","0021288-90.2018.5.04.0404"
"UNA","2019-03-21","1001488-31.2018.5.02.0011"
"SUSTENTAÇÃO ORAL","2019-02-26","0002034-91-2010-5-15-0021"
"PERÍCIA","2019-05-02","1001000.53.2016.5.02.0203"
"INSTRUÇÃO","2019-10-01","0021966-48.2017.5.04.0402"
"INSTRUÇÃO","2019-05-15","0101264-28.2018.5.01.0050"
"INICIAL","2019-03-11","0020126-35.2019.5.04.0401"
"SENTENÇA","2019-02-28","1001120-16.2018.5.02.0013"
"INICIAL","2019-03-14","0101269-69.2018.5.01.0076"
"PERÍCIA","2019-02-21","0021143-89.2018.5.04.0030"
"INSTRUÇÃO","2019-04-03","0020398-16.2018.5.04.0352"
"CONCILIAÇÃO","2019-02-26","0000129-40.2014.5.04.0531"
"JULGAMENTO","2019-02-27","0020728-86.2015.5.04.0006"
"JULGAMENTO","2019-02-21","001/1.15.0141763-1"
"PERÍCIA","2019-04-09",""
"INSTRUÇÃO","2019-04-09","0020399-21.2018.5.04.0701"
"CONCILIAÇÃO","2019-03-12","0020817-08.2017.5.04.0017"
"JULGAMENTO","2019-03-14","0000831-72.2014.5.04.0761"
"INSTRUÇÃO","2019-02-11","0020229-45.2014.5.04.0004"
"INSTRUÇÃO","2019-03-26","0001010-64.2018.5.13.0001"
"JULGAMENTO","2019-03-28","0021251-84.2014.5.04.0022"
"OITIVA DE TESTEMUNHAS","2019-04-09","CP0022088-61.2017.5.04.0402"
"CONCILIAÇÃO","2019-05-08",""
"INSTRUÇÃO","2019-06-06","0021037-36.2018.5.04.0028"
"JULGAMENTO","2019-02-28","0020216-35.2016.5.04.0664"
"PERÍCIA","2020-08-13","9014381-31.2019.8.21.0001"
"INSTRUÇÃO","2019-05-13","0020502-22.2018.5.04.0121"
"INSTRUÇÃO","2019-08-12","0021850-45.2017.5.04.0401"
"INSTRUÇÃO","2019-10-09","0021169-17.2018.5.04.0021"
"INSTRUÇÃO","2020-02-11","0021177-21.2018.5.04.0012"
"INSTRUÇÃO","2020-05-05","0021445-30.2018.5.04.0221"
"JULGAMENTO","2019-02-27","314384-55.2018.8.21.7000"
"PERÍCIA","2019-02-20","017/1.17.0003470-1"
"JULGAMENTO","2019-02-27","345090-21.2018.8.21.7000"
"PERÍCIA","2019-03-14","1001514-85.2018.5.02.0057"
"INSTRUÇÃO","2019-04-09","1001578-49.2018.5.02.0040"
"INSTRUÇÃO","2019-04-09","0012440-27.2017.5.15.0022"
"SUSTENTAÇÃO ORAL","2019-03-14","1001722-69.2017.5.02.0715"
"SUSTENTAÇÃO ORAL","2019-03-14","1001802-81.2017.5.02.0020"
"UNA","2019-02-28","1000101-63.2019.5.02.0231"
"INSTRUÇÃO","2019-08-16","1001374.23.2018.5.02.0034"
"INSTRUÇÃO","2018-11-07","0021496-73.2016.5.04.0233"
"INSTRUÇÃO","2018-11-14","0020852-16.2017.5.04.0001"
"INSTRUÇÃO","2018-11-20","0021904-33.2016.5.04.0211"
"INSTRUÇÃO","2018-11-21","0021196-82.2017.5.04.0005"
"INICIAL","2018-12-04","0020809-06.2018.5.04.0305"
"INSTRUÇÃO","2018-11-28","0021494-90.2016.5.04.0011"
"JULGAMENTO","2019-03-13","0020454-96.2014.5.04.0026"
"JULGAMENTO","2019-03-13","0022254-79.2016.5.04.0030"
"JULGAMENTO","2019-03-13","0021100-56.2016.5.04.0020"
"JULGAMENTO","2019-03-13","0020520-41.2016.5.04.0015"
"JULGAMENTO","2019-03-13","0022254-79.2016.5.04.0030"
"PERÍCIA","2019-03-21","9073045-89.2018.8.21.0001"
"JULGAMENTO","2019-03-21","0020955-04.2015.5.04.0030"
"JULGAMENTO","2019-03-21","0020942-46.2016.5.04.0102"
"UNA","2019-04-03","1000101-63.2019.5.02.0231"
"INSTRUÇÃO","2019-04-04","0020872-52.2018.5.04.0104"
"INICIAL","2019-04-08","0020157-64.2019.5.04.0010"
"PERÍCIA","2019-04-11","165/1.16.0001873-8"
"OITIVA DE TESTEMUNHAS","2019-05-23","0000104-54.2019.5.07.0018"
"INSTRUÇÃO","2019-05-16","0020502-22.2018.5.04.0121"
"INSTRUÇÃO","2019-05-15","1001331-32.2018.5.02.0052"
"INSTRUÇÃO","2019-06-27","0020623-97.2018.5.04.0461"
"UNA","2019-05-21","0020086-68.2019.5.04.0008"
"JULGAMENTO","2019-02-26","5041970-87.2017.4.04.7100"
"INICIAL","2019-03-19","0021155-93.2018.5.04.0001"
"INICIAL","2019-05-22","0020160-31.2019.5.04.0006"
"PERÍCIA","2020-07-02","5014146-53.2020.8.21.7000"
"INSTRUÇÃO","2020-06-18","0001226-57.2018.5.06.0021"
"JULGAMENTO","2019-03-08","0021216-40.2016.5.04.0771"
"JULGAMENTO - ED","2019-02-27","8453-13.2019.8.21.7000"
"JULGAMENTO - ED","2019-02-27",""
"JULGAMENTO","2019-02-27","388816-45.2018.8.21.7000"
"JULGAMENTO - ED","2019-02-27","20815-47.2019.8.21.7000"
"CONCILIAÇÃO","2019-07-19","0000982.71.2015.5.02.0401"
"PERÍCIA","2019-03-07","9067636-35.2018.8.21.0001"
"INSTRUÇÃO","2019-07-25","0021110-70.2016.5.04.0030"
"INICIAL","2019-02-18","0021369-42.2018.5.04.0403"
"OITIVA DE TESTEMUNHAS","2019-02-19","0021718-95.2018.5.04.0451"
"INICIAL","2019-02-27","0021169-17.2018.5.04.0021"
"INSTRUÇÃO","2019-03-06","0022176-88.2017.5.04.0341"
"INSTRUÇÃO","2019-03-07","0022392-46.2016.5.04.0030"
"INSTRUÇÃO","2019-08-07","0021346-90.2018.5.04.0405"
"CONCILIAÇÃO","2019-03-13","001/1.18.0099041-4"
"INICIAL","2019-03-27","0021139-67.2018.5.04.0025"
"JULGAMENTO","2019-03-12","0021590-52.2014.5.04.0019"
"INICIAL","2019-03-18","0022290-90.2018.5.04.0341"
"JULGAMENTO","2019-03-19","5001963-80.2018.4.04.7112"
"JULGAMENTO","2019-03-20","0021349-57.2014.5.04.0026"
"PERÍCIA","2019-03-27","5066015-24.2018.4.04.7100"
"JULGAMENTO","2019-03-28","0021216-40.2016.5.04.0771"
"PERÍCIA","2019-03-29","5075989-85.2018.4.04.7100"
"OITIVA DE TESTEMUNHAS","2019-04-03","0020064-67.2019.5.04.0571"
"INICIAL","2019-04-23","0021261-37.2018.5.04.0007"
"OITIVA DE TESTEMUNHAS","2019-06-18","0010272-03.2019.5.15.0145"
"OITIVA DE TESTEMUNHAS","2019-05-15","CP 0021061-76.2018.5.04.0024"
"OITIVA DE TESTEMUNHAS","2019-05-24","1000989-50.2018.5.02.0204"
"INSTRUÇÃO","2019-07-08","0020639-23.2017.5.04.0029"
"PERÍCIA","2019-03-11","0020460-70.2018.5.04.0121"
"INSTRUÇÃO","2019-08-05","0021295-79.2018.5.04.0405"
"PERÍCIA","2019-03-12","0021144-74.2018.5.04.0030"
"JULGAMENTO","2019-06-27","115651-12.2019.8.21.7000"
"INICIAL","2020-10-13","0020654-84.2020.5.04.0029"
"EXIBIR DOCUMENTOS","2019-03-14","0000146-73.2016.5.13.0008"
"INICIAL","2019-03-11","0020803-26.2018.5.04.0005"
"JULGAMENTO","2019-03-13","0020108-08.2015.5.04.0028"
"INSTRUÇÃO","2019-04-09","0000083-33.2019.5.21.0004"
"INSTRUÇÃO","2019-03-20","0021135-07.2017.5.04.0141"
"PERÍCIA","2019-03-13","0021020-91.2018.5.04.0030"
"UNA","2019-03-25","1001236-66.2018.5.02.0063"
"UNA","2019-04-26","1000249-46.2019.5.02.0402"
"INSTRUÇÃO/CONTROLE DO JUIZ","2019-06-06","1001308.35.2016.5.02.0221"
"INICIAL","2019-03-27","1001246-75.2018.5.02.0301"
"JULGAMENTO","2019-03-18","MS-0022719-13.2018.5.04.0000"
"JULGAMENTO","2019-03-18","MS-0022706-14.2018.5.04.0000"
"CONCILIAÇÃO","2019-03-18","0022500-52.1998.5.04.0662"
"CONCILIAÇÃO","2019-03-18","0039500-97.2000.5.04.0661"
"CONCILIAÇÃO","2019-03-18","0122301-75.1997.5.04.0661"
"CONCILIAÇÃO","2019-03-18","0122440-27.1997.5.04.0661"
"JULGAMENTO","2019-03-27","0020928-65.2016.5.04.0101"
"JULGAMENTO","2019-03-27","0021825-90.2016.5.04.0005"
"JULGAMENTO","2019-03-27","0020902-89.2016.5.04.0029"
"JULGAMENTO","2019-03-27","0021314-55.2016.5.04.0373"
"JULGAMENTO","2019-03-27","0022010-53.2016.5.04.0030"
"CONCILIAÇÃO","2019-03-21","0001312-55.2013.5.04.0022"
"JULGAMENTO","2019-03-27","0022118-61.2015.5.04.0404"
"INSTRUÇÃO","2019-04-09","0021135-07.2017.5.04.0141"
"SENTENÇA","2019-05-13","0002281-53-2010-5-02-0015"
"JULGAMENTO","2019-03-21","0021257-03.2014.5.04.0019"
"UNA","2019-09-23","0010272-56.2019.5.15.0095"
"PERÍCIA","2019-03-26","0020803-26.2018.5.04.0005"
"SUSTENTAÇÃO ORAL","2019-03-19","1001991.26.2016.5.02.0204"
"SENTENÇA","2019-04-05","1001246-72.2018.5.02.0011"
"INSTRUÇÃO","2019-06-24","1001633.03.2016.5.02.0482"
"INSTRUÇÃO","2019-03-14","1001633.03.2016.5.02.0482"
"JULGAMENTO","2019-07-02","0021532-62.2017.5.04.0401"
"SENTENÇA","2019-05-21","1000149-61.2016.5.02.0058"
"INSTRUÇÃO","2019-06-13","1001514-56.2018.5.02.0002"
"INSTRUÇÃO","2021-08-31","0100774-84.2020.5.01.0551"
"OITIVA DE TESTEMUNHAS","2019-03-12","1001544-19.2018.5.02.0705"
"INICIAL","2019-05-14","0010307-90.2019.5.15.0038"
"INSTRUÇÃO","2019-08-13","0021352-06.2018.5.04.0403"
"PERÍCIA","2019-12-12","9071397-40.2019.8.21.0001"
"JULGAMENTO","2019-03-12","0020988-92.2017.5.04.0104"
"JULGAMENTO","2019-12-12","0021106-47.2017.5.04.0305"
"INSTRUÇÃO","2020-02-04","0021354-73.2018.5.04.0403"
"INSTRUÇÃO","2019-10-02","0021276-88.2018.5.04.0012"
"OITIVA DE TESTEMUNHAS","2019-03-21","0000933-30.2018.5.09.0013"
"INSTRUÇÃO","2019-03-13","0021647-10.2017.5.04.0005"
"INSTRUÇÃO","2019-11-26","0021547-52.2018.5.04.0512"
"JULGAMENTO","2019-03-19","0021148-02.2017.5.04.0304"
"JULGAMENTO","2019-03-19","0020893-72.2016.5.04.0015"
"JULGAMENTO","2019-03-19","0021153-49.2016.5.04.0404"
"JULGAMENTO","2019-03-20","0021262-07.2016.5.04.0261"
"PERÍCIA","2019-03-19","1001543-06.2018.5.02.0003"
"JULGAMENTO","2019-03-21","0021108-03.2016.5.04.0030"
"JULGAMENTO","2019-03-21","352017-03.2018.8.21.7000"
"ENCERRAMENTO DE INSTRUÇÃO","2019-04-04","0011801.19.2016.5.18.0003"
"JULGAMENTO","2019-03-27","0020130-24.2018.5.04.0008"
"JULGAMENTO","2019-03-27","0020631-52.2017.5.04.0221"
"JULGAMENTO","2019-03-27","20628-39.2019.8.21.7000"
"JULGAMENTO - ED","2019-03-27","372594-02.2018.8.21.7000"
"JULGAMENTO","2019-03-27","0021143-02.2016.5.04.0405"
"JULGAMENTO","2019-03-26","5071938-02.2016.4.04.7100"
"JULGAMENTO","2019-03-26","5000308-08.2016.4.04.7124"
"OITIVA DE TESTEMUNHAS","2019-06-18","0000933-30.2018.5.09.0013"
"JULGAMENTO","2019-03-13","0020148-47.2016.5.04.0030"
"JULGAMENTO","2019-03-13","0021974-45.2015.5.04.0030"
"INSTRUÇÃO","2019-08-28","0021347-75.2018.5.04.0405"
"PERÍCIA","2019-03-18",""
"UNA","2020-09-28","0012485-32.2019.5.15.0096"
"JULGAMENTO","2019-03-13","0021744-03.2015.5.04.0030"
"INSTRUÇÃO","2019-03-14","0020606-12.2017.5.04.0812"
"JULGAMENTO","2019-03-13","0020148-47.2016.5.04.0030"
"OITIVA DE TESTEMUNHAS","2019-07-03","0020328-63.2019.5.04.0772"
"PERÍCIA","2019-03-19","9068503-28.2018.8.21.0001"
"SUSTENTAÇÃO ORAL","2019-04-02","1001607-85.2017.5.02.0444"
"OITIVA DE TESTEMUNHAS","2019-04-15","1000283.14.2019.5.02.0372"
"UNA","2019-04-23","1000301-52.2019.5.02.0431"
"UNA","2019-04-25","1000295-42.201.5.02.0044"
"UNA","2019-05-02","0010180-15.2019.5.15.0019"
"JULGAMENTO","2019-03-21","0021540.31.2015.5.04.0006"
"JULGAMENTO","2019-03-20","0001608-02.2012.5.04.0511"
"UNA","2019-06-10","1000619-05.2018.5.02.0032"
"SENTENÇA","2019-04-12","0002451.70.2015.5.02.0202"
"INSTRUÇÃO","2019-07-02","0010484.32.2018.5.03.0100"
"JULGAMENTO","2019-03-21","0021257-03.2014.5.04.0019"
"JULGAMENTO","2019-03-28","0020564-33.2017.5.04.0821"
"JULGAMENTO","2019-03-26","0020914-38.2017.5.04.0104"
"JULGAMENTO","2019-03-27","0021865-08.2017.5.04.0403"
"JULGAMENTO","2019-03-27","382095-77.2018.8.21.7000"
"CONCILIAÇÃO","2019-03-28","0000904-57-2013-5-02-0010"
"JULGAMENTO","2019-03-28","0021357-67.2014.5.04.0015"
"JULGAMENTO","2019-03-28","0020701-21.2017.5.04.0334"
"JULGAMENTO","2019-03-28","0021493-02.2016.5.04.0013"
"JULGAMENTO","2019-03-28","0020221-15.2017.5.04.0020"
"JULGAMENTO - ED","2019-03-28","24501-47.2019.8.21.7000"
"JULGAMENTO","2019-03-28","301085-11.2018.8.21.7000"
"OITIVA DE TESTEMUNHAS","2019-03-21","0020749-10.2018.5.04.0733"
"PERÍCIA","2019-04-16","010/1.17.0008222-1"
"UNA","2019-06-03","1001304-23.2018.5.02.0384"
"OITIVA DE TESTEMUNHAS","2019-08-22","0025020.53.2018.5.24.0071"
"INSTRUÇÃO","2019-06-03","1000724.93.2017.5.02.0071"
"INSTRUÇÃO","2019-05-22","1001930.63.2016.5.02.0432"
"PERÍCIA","2019-06-27","1001374.23.2018.5.02.0034"
"PERÍCIA","2019-03-19","1001458-83.2018.5.02.0079"
"CONCILIAÇÃO","2019-05-08","0100387-03.2018.5.01.0046"
"PERÍCIA","2019-04-06","1000993-32.2018.5.02.0384"
"INSTRUÇÃO","2019-12-17","1001873-82.2018.5.02.0203"
"INSTRUÇÃO","2019-05-02","1000074-20.2019.5.02.0445"
"OITIVA DE TESTEMUNHAS","2019-03-18","00010128.59.2019.5.15.0038"
"INICIAL","2019-05-23","0020270-97.2019.5.04.0016"
"JULGAMENTO","2019-03-19","0020150-50.2016.5.04.0019"
"INSTRUÇÃO","2019-03-27","0021223-55.2014.5.04.0204"
"INSTRUÇÃO","2020-02-06","0001423-40.2017.5.07.0014"
"SENTENÇA","2020-01-31","1001848-63.2018.5.02.0205"
"SENTENÇA","2019-03-27","0000100-54.2019.5.21.0009"
"JULGAMENTO","2019-07-02","0020357-26.2015.5.04.0232"
"INSTRUÇÃO","2019-07-08","0021435-19.2018.5.04.0404"
"INSTRUÇÃO","2019-08-08","0021223-55.2014.5.04.0204"
"INSTRUÇÃO","2018-12-17","0020614-16.2017.5.04.0221"
"INSTRUÇÃO","2019-02-13","0020449-87.2017.5.04.0020"
"INSTRUÇÃO","2019-02-06","0021388-15.2017.5.04.0005"
"CONCILIAÇÃO","2019-03-18","0020549-21.2017.5.04.0027"
"CONCILIAÇÃO","2019-03-19","0010341.79.2015.5.15.0014"
"PERÍCIA","2019-03-21",""
"INSTRUÇÃO","2019-10-07","0022290-90.2018.5.04.0341"
"INSTRUÇÃO","2020-04-06","0021752-18.2017.5.04.0221"
"JULGAMENTO","2019-03-27","0020136-41.2017.5.04.0016"
"JULGAMENTO","2019-03-28","0020569-51.2017.5.04.0014"
"JULGAMENTO","2019-03-28","0021807-63.2016.5.04.0007"
"INSTRUÇÃO","2019-03-29","0020290-06.2018.5.04.0281"
"JULGAMENTO","2019-03-28","286045-86.2018.8.21.7000"
"INICIAL","2019-04-12","0020245-17.2019.5.04.0006"
"JULGAMENTO","2019-04-30","0020150-50.2016.5.04.0019"
"INSTRUÇÃO","2019-07-10","0021738-28.2017.5.04.0029"
"JULGAMENTO","2019-07-02","0020689-79.2017.5.04.0019"
"JULGAMENTO","2019-07-03","0020552-39.2017.5.04.0103"
"INSTRUÇÃO","2021-09-30","0011177-65.2019.5.15.0126"
"INSTRUÇÃO","2019-09-05","0021828-96.2017.5.04.0009"
"UNA","2019-11-04","1001630-38.2018.5.02.0204"
"UNA","2019-07-10","1001259-72.2019.5.02.0064"
"UNA","2019-08-21",""
"INSTRUÇÃO","2019-07-03","0020631-48.2018.5.04.0405"
"INSTRUÇÃO","2019-10-22","0010347-72.2019.5.15.0038"
"INSTRUÇÃO","2020-02-11","0021318-34.2018.5.04.0402"
"INSTRUÇÃO","2020-01-30","0010510-62.2019.5.15.0067"
"INSTRUÇÃO","2020-03-17","0021155-93.2018.5.04.0001"
"PERÍCIA","2019-07-10","139321-16.2018.8.21.7000"
"INSTRUÇÃO","2020-03-11","0020495-50.2019.5.04.0006"
"INSTRUÇÃO","2020-07-29","0020262-14.2019.5.04.0019"
"INICIAL","2019-07-10","0020379-42.2019.5.04.0233"
"PERÍCIA","2019-07-15","347154-38.2017.8.21.7000"
"JULGAMENTO","2019-07-15","0021122-72.2019.5.04.0000"
"INSTRUÇÃO","2019-07-17","0021699-49.2017.5.04.0023"
"OITIVA DE TESTEMUNHAS","2019-10-08","0010652.83.2019.5.15.0029"
"INSTRUÇÃO","2019-10-07","1000393-74.2019.5.02.0384"
"PERÍCIA","2019-07-16","184601-10.2018.8.21.7000"
"INSTRUÇÃO","2019-09-10","0020513-48.2019.5.04.0531"
"INSTRUÇÃO","2019-08-26","0021326-02.2018.5.04.0405"
"JULGAMENTO","2019-07-17","83928-72.2019.8.21.7000"
"JULGAMENTO","2019-07-23","5005467-32.2019.4.04.9999"
"JULGAMENTO","2019-07-31","0021473-62.2017.5.04.0405"
"PERÍCIA","2019-07-24","0020636-47.2018.5.04.0251"
"JULGAMENTO","2019-08-15","0020942-46.2016.5.04.0102"
"INICIAL","2019-10-10","0000417-78.2019.5.05.0015"
"PERÍCIA","2019-08-28","5037797-20.2017.4.04.7100"
