"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"INSTRUÇÃO","2017-09-21","0020597-05.2016.5.04.0030"
"INSTRUÇÃO","2016-09-05","0020285-50.2016.5.04.0411"
"INSTRUÇÃO","2017-12-12","0021104-63.2016.5.04.0030"
"PERÍCIA","2016-10-26","0020857-82.2016.5.04.0030"
"INSTRUÇÃO","2016-10-25","0020806-42.2014.5.04.0030"
"JULGAMENTO","2016-08-03","0020390-11.2013.5.04.0030"
"INSTRUÇÃO","2016-08-05","0021696-44.2015.5.04.0030"
"JULGAMENTO","2016-08-03","001/1.13.0092058-1"
"INSTRUÇÃO","2016-08-31","0020764-56.2015.5.04.0030"
"INICIAL","2016-09-15","245"
"PERÍCIA","2016-09-15","0020153-69.2016.5.04.0030"
"PERÍCIA","2016-09-22",""
"PERÍCIA","2016-09-27","0020460-23.2016.5.04.0030"
"INSTRUÇÃO","2016-09-27","0020788-21.2014.5.04.0030"
"INICIAL","2016-09-27","0020387-72.2016.5.04.0101"
"PERÍCIA","2016-09-28","00020159-76.2016.5.04.030"
"INSTRUÇÃO","2016-09-14","0020799-50.2014.5.04.0030"
"INSTRUÇÃO","2016-09-14","0021428-87.2015.5.04.0030"
"INSTRUÇÃO","2016-09-27","0021419-41.2015.5.04.0252"
"INICIAL","2016-10-14",""
"INSTRUÇÃO","2018-04-26","0001512-88.2016.5.07.0017"
"INICIAL","2018-02-27","0021793-88.2017.5.04.0025"
"INSTRUÇÃO","2016-11-08","0021008-82.2015.5.04.0030"
"INICIAL","2017-04-11","0020152-25.207.5.04.0103"
"INSTRUÇÃO","2017-11-07","0021111-55.2016.5.04.0030"
"UNA","2019-04-11","1001897-23.2017.5.02.0017"
"SENTENÇA","2019-06-28",""
"PERÍCIA","2017-03-03","001/1.16.0097613-2"
"INSTRUÇÃO","2016-11-09","0020295-18.2015.5.04.0771"
"INSTRUÇÃO","2016-10-27","0021502-44.2015.5.04.0030"
"INSTRUÇÃO","2016-11-09","0020184-97.2016.5.04.0771"
"JULGAMENTO","2016-09-06","0020393-92.2015.5.04.0030"
"PERÍCIA","2016-10-17","0021555-88.2016.5.04.0030"
"INSTRUÇÃO","2016-09-08",""
"INICIAL","2016-09-13",""
"CONCILIAÇÃO","2016-10-25","001/1.16.0112091-6"
"PERÍCIA","2016-10-25","5012226-60.2016.4.04.7107"
"JULGAMENTO","2016-09-01","0000358-75.2013.5.04.0291"
"JULGAMENTO","2016-09-01","0021352-97.2014.5.04.0030"
"PERÍCIA","2016-08-30","0020114-72.2016.5.04.0030"
"PERÍCIA","2016-09-02","001/1.14.0326147-5"
"PERÍCIA","2016-09-05",""
"INICIAL","2016-09-14",""
"INICIAL","2016-09-15",""
"CONCILIAÇÃO","2016-09-19",""
"JULGAMENTO","2016-09-06","5000429-58.2015.4.04.7128"
"INSTRUÇÃO","2016-11-23","0021741-87.2015.5.04.0017"
"JULGAMENTO","2016-09-13","0020285-50.2016.5.04.0411"
"JULGAMENTO","2016-11-23","001/1-13-0212998-9"
"PERÍCIA","2016-09-28",""
"PERÍCIA","2016-09-02","5044942-64.2016.4.04.7100"
"JULGAMENTO","2016-09-01","001/1.15.0086896-6"
"JULGAMENTO","2016-09-14","001/1.12.0293048-5"
"INSTRUÇÃO","2016-12-07","0021499-89.2015.5.04.0030"
"PERÍCIA","2016-12-06",""
"PERÍCIA","2016-12-07","0020597-05.2016.5.04.0030"
"SUSTENTAÇÃO ORAL","2018-02-05","0001365-59.2016.5.07.0018"
"INSTRUÇÃO","2016-12-14","0021761-39.2015.5.04.0030"
"PERÍCIA","2016-08-01","5045285-60.2016.4.04.7100"
"PERÍCIA","2016-10-04","001/1.16.0093634-3"
"INSTRUÇÃO","2018-02-27","0020468-17.2017.5.04.0401"
"PERÍCIA","2016-08-03","001/1.15.0030458-2"
"INICIAL","2016-08-09","0021397-42.2016.5.04.0221"
"INSTRUÇÃO","2017-04-25",""
"SUSTENTAÇÃO ORAL","2016-09-06","0000866-28.2013.5.04.0030"
"SUSTENTAÇÃO ORAL","2016-06-30","0020397-03.2013.5.04.0030"
