data,ipca_idx
2009-11-01,2.957820064408145
2009-12-01,2.9687639986464553
2010-01-01,2.991029728636304
2010-02-01,3.014359760519667
2010-03-01,3.030034431274369
2010-04-01,3.0473056275326327
2010-05-01,3.060409041731023
2010-06-01,3.060409041731023
2010-07-01,3.060715082635196
2010-08-01,3.06193936866825
2010-09-01,3.075718095827257
2010-10-01,3.0987859815459617
2010-11-01,3.1245059051927933
2010-12-01,3.144190292395508
2011-01-01,3.1702870718223903
2011-02-01,3.1956493683969693
2011-03-01,3.2208949984073056
2011-04-01,3.245695889895042
2011-05-01,3.2609506605775485
2011-06-01,3.265842086568415
2011-07-01,3.2710674339069246
2011-08-01,3.28317038341238
2011-09-01,3.3005711864444662
2011-10-01,3.3147636425461773
2011-11-01,3.332000413487417
2011-12-01,3.348660415554854
